redispatch_name,plant_id,matched_name,fueltype,capacity_mw,confidence,source,reasoning,needs_review
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Süderdonn T411,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Süderdonn T412 T413,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Klixbüll,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Heide West T411 T412,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Husum Nord,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Heide West T413,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
EE Bayern,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Wilhelmshaven (ENGIE),25002,Wilhelmshaven On,Hard Coal,788.1,high,claude,ENGIE operated the 788 MW hard coal plant at Wilhelmshaven (known as 'GDF Suez/ENGIE Wilhelmshaven'). id=25002 'Wilhelmshaven On' at 53.566°N 8.146°E matches location and operator; id=742 is a different aggregated entry.,
Reservekraftwerk Altbach/Deizisau Block 1,265,Altbach Deizisau,Hard Coal,1004.0,high,claude,"The Altbach/Deizisau hard coal plant (id=265, 1004 MW) is the reserve power plant at that location operated by EnBW; id=9263 is the CHP variant but id=265 best covers the full plant including Block 1.",
KMW_KW3,,,,,none,unmatched,"KMW likely refers to Kraftwerk Mainz-Wiesbaden or a similar municipal utility; none of the candidates clearly match this name, fuel type, and location combination for a conventional block-level plant called KW3.",YES
Gebersdorf 2,,,,,none,unmatched,"Gebersdorf is a district of Nuremberg with a municipal heating plant, but none of the candidates match this location or name clearly enough to make a confident assignment.",YES
50H Halle-Dieselstr HKW-BlockA,2776,Halle Trotha,Natural Gas,126.991,medium,claude,"The Halle Trotha CCGT (id=2776, 127 MW, 51.491°N 11.968°E) is the main conventional heat and power plant in Halle operated by EVH/Saale Energie; the Dieselstraße HKW is part of the same Halle district heating complex and this is the best matching candidate.",
50H Hamburg Wedel1,267,Wedel,Hard Coal,693.0,high,claude,"id=267 'Wedel' is the 693 MW hard coal steam turbine plant at 53.567°N 9.725°E, directly matching 'Hamburg Wedel1' operated by Vattenfall/Hamburg Energie.",
50H Berlin Mitte,10325,Berlin Mitte,Natural Gas,461.0,high,claude,"id=10325 'Berlin Mitte' is a 461 MW Natural Gas CCGT at 52.512°N 13.421°E, directly matching the well-known Vattenfall/Vattenfall Wärme Berlin Mitte plant.",
50H Berlin Marzahn,4903,Marzahn,Natural Gas,258.8,high,claude,"id=4903 'Marzahn' is a 258.8 MW Natural Gas CCGT at 52.525°N 13.521°E, directly matching the Berlin Marzahn gas-fired cogeneration plant.",
50H Rostock Marienehe,3276,Rostock Marienehe,Natural Gas,108.0,high,claude,"id=3276 'Rostock Marienehe' is a 108 MW Natural Gas CCGT at 54.126°N 12.084°E, directly matching the name and location.",
Netzreservekraftwerk Bexbach A,322,Bexbach,Hard Coal,726.24,high,claude,"id=322 'Bexbach' is the 726.2 MW hard coal steam turbine plant at 49.353°N 7.240°E, the well-known Saarland reserve power plant; 'A' refers to block A of this plant.",
Netzreservekraftwerk Weiher C,264,Weiher,Hard Coal,655.6,high,claude,"id=264 'Weiher' is the 655.6 MW hard coal steam turbine at 49.334°N 7.028°E, the Saarland reserve plant; 'C' refers to block C of Kraftwerk Weiher.",
OWP UW Büttel,,,,,none,unmatched,"OWP UW Büttel refers to an offshore wind park grid connection substation (Umspannwerk Büttel in Schleswig-Holstein), but none of the wind candidates in the list correspond to this specific offshore wind park or substation.",YES
Vorarlberger Ilwerke,,,,,none,unmatched,Vorarlberger Illwerke is an Austrian hydropower company (pumped storage); none of the candidates in the list correspond to this entity.,YES
50H Halle-Trotha HKW,2776,Halle Trotha,Natural Gas,126.991,high,claude,"id=2776 'Halle Trotha' is a 127 MW Natural Gas CCGT at 51.491°N 11.968°E, directly matching the Halle-Trotha district heating power plant (HKW).",
